Cat_Namee,Can_Name,Name,C_Votes,ab_c_votes,ab_p_votes,ab_emer_votes1,rtot,Textbox5,Textbox7,Textbox11,ab_emer_votes,Textbox13
ATTORNEY GENERAL,John M. MORGANELLI,"City--1st Ward, 1st Precinct",119,2,0,0,121,45391,1904,231,0,47526
ATTORNEY GENERAL,John M. MORGANELLI,"City--1st Ward, 2nd Precinct",543,11,2,0,556,45391,1904,231,0,47526
ATTORNEY GENERAL,John M. MORGANELLI,"City--1st Ward, 3rd Precinct",617,5,16,0,638,45391,1904,231,0,47526
ATTORNEY GENERAL,John M. MORGANELLI,"City--2nd Ward, 1st Precinct",339,4,2,0,345,45391,1904,231,0,47526
ATTORNEY GENERAL,John M. MORGANELLI,"City--2nd Ward, 2nd Precinct",474,7,23,0,504,45391,1904,231,0,47526
ATTORNEY GENERAL,John M. MORGANELLI,City--3rd Ward,255,8,3,0,266,45391,1904,231,0,47526
ATTORNEY GENERAL,John M. MORGANELLI,City--4th Ward,325,20,0,0,345,45391,1904,231,0,47526
ATTORNEY GENERAL,John M. MORGANELLI,City--5th Ward,566,31,6,0,603,45391,1904,231,0,47526
ATTORNEY GENERAL,John M. MORGANELLI,City--6th Ward,304,9,0,0,313,45391,1904,231,0,47526
ATTORNEY GENERAL,John M. MORGANELLI,"City--7th Ward, 1st Precinct",226,18,0,0,244,45391,1904,231,0,47526
ATTORNEY GENERAL,John M. MORGANELLI,"City--7th Ward, 2nd Precinct",711,11,19,0,741,45391,1904,231,0,47526
ATTORNEY GENERAL,John M. MORGANELLI,City--8th Ward,699,12,2,0,713,45391,1904,231,0,47526
ATTORNEY GENERAL,John M. MORGANELLI,"City--9th Ward, 1st Precinct",329,10,1,0,340,45391,1904,231,0,47526
ATTORNEY GENERAL,John M. MORGANELLI,"City--9th Ward, 2nd Precinct",639,7,18,0,664,45391,1904,231,0,47526
