Cat_Namee,Can_Name,Name,C_Votes,ab_c_votes,ab_p_votes,ab_emer_votes1,rtot,Textbox5,Textbox7,Textbox11,ab_emer_votes,Textbox13
AUDITOR  LONDONDERRY (D,Write In  ,Londonderry Twp--1st Precinct,1,0,0,0,1,1,0,0,0,1
AUDITOR  LONDONDERRY (D,Write In  ,Londonderry Twp--2nd Precinct,0,0,0,0,0,1,0,0,0,1
AUDITOR  LONDONDERRY (D,Write In  ,Londonderry Twp--3rd Precinct,0,0,0,0,0,1,0,0,0,1
AUDITOR  LONDONDERRY (R,Paul M. GEYER,Londonderry Twp--1st Precinct,97,0,0,0,97,210,0,0,0,210
AUDITOR  LONDONDERRY (R,Paul M. GEYER,Londonderry Twp--2nd Precinct,74,0,0,0,74,210,0,0,0,210
AUDITOR  LONDONDERRY (R,Paul M. GEYER,Londonderry Twp--3rd Precinct,39,0,0,0,39,210,0,0,0,210
AUDITOR  LONDONDERRY (R,Write In  ,Londonderry Twp--1st Precinct,3,0,0,0,3,3,0,0,0,3
AUDITOR  LONDONDERRY (R,Write In  ,Londonderry Twp--2nd Precinct,0,0,0,0,0,3,0,0,0,3
AUDITOR  LONDONDERRY (R,Write In  ,Londonderry Twp--3rd Precinct,0,0,0,0,0,3,0,0,0,3
AUDITOR  LYKENS (D,Write In  ,Lykens Township,0,0,0,0,0,0,0,0,0,0
AUDITOR  LYKENS (R,Violet E. HARTMAN,Lykens Township,61,0,0,0,61,61,0,0,0,61
AUDITOR  LYKENS (R,Write In  ,Lykens Township,0,0,0,0,0,0,0,0,0,0
AUDITOR 2YR BERRYSBURG (D,Write In  ,Berrysburg Borough,0,0,0,0,0,0,0,0,0,0
AUDITOR 2YR BERRYSBURG (R,Write In  ,Berrysburg Borough,0,0,0,0,0,0,0,0,0,0
AUDITOR 2YR CONEWAGO (D,Write In  ,Conewago Twp--1st Precinct,0,0,0,0,0,1,0,0,0,1
AUDITOR 2YR CONEWAGO (D,Write In  ,Conewago Twp--2nd Precinct,1,0,0,0,1,1,0,0,0,1
AUDITOR 2YR CONEWAGO (R,Write In  ,Conewago Twp--1st Precinct,1,0,0,0,1,2,0,0,0,2
AUDITOR 2YR CONEWAGO (R,Write In  ,Conewago Twp--2nd Precinct,1,0,0,0,1,2,0,0,0,2
AUDITOR 2YR GRATZ (D,Write In  ,Gratz Borough,0,0,0,0,0,0,0,0,0,0
AUDITOR 2YR GRATZ (R,Write In  ,Gratz Borough,3,0,0,0,3,3,0,0,0,3
AUDITOR 2YR PAXTANG (D,Write In  ,Paxtang Borough,1,0,0,0,1,1,0,0,0,1
AUDITOR 2YR PAXTANG (R,Write In  ,Paxtang Borough,2,0,0,0,2,2,0,0,0,2
AUDITOR 2YR REED (D,Write In  ,Reed Township,0,0,0,0,0,0,0,0,0,0
AUDITOR 2YR REED (R,Millie L. RAINEY,Reed Township,19,0,0,0,19,19,0,0,0,19
AUDITOR 2YR REED (R,Write In  ,Reed Township,0,0,0,0,0,0,0,0,0,0
AUDITOR 2YR WEST HAN (D,Write In  ,West Hanover Twp--1st Precinct,0,0,0,0,0,5,0,0,0,5
AUDITOR 2YR WEST HAN (D,Write In  ,West Hanover Twp--2nd Precinct,2,0,0,0,2,5,0,0,0,5
AUDITOR 2YR WEST HAN (D,Write In  ,West Hanover Twp--3rd Precinct,0,0,0,0,0,5,0,0,0,5
AUDITOR 2YR WEST HAN (D,Write In  ,West Hanover Twp--4th Precinct,3,0,0,0,3,5,0,0,0,5
AUDITOR 2YR WEST HAN (R,Write In  ,West Hanover Twp--1st Precinct,0,0,0,0,0,5,0,0,0,5
AUDITOR 2YR WEST HAN (R,Write In  ,West Hanover Twp--2nd Precinct,1,0,0,0,1,5,0,0,0,5
AUDITOR 2YR WEST HAN (R,Write In  ,West Hanover Twp--3rd Precinct,4,0,0,0,4,5,0,0,0,5
AUDITOR 2YR WEST HAN (R,Write In  ,West Hanover Twp--4th Precinct,0,0,0,0,0,5,0,0,0,5
AUDITOR 4YR BERRYSBURG (D,Write In  ,Berrysburg Borough,0,0,0,0,0,0,0,0,0,0
AUDITOR 4YR BERRYSBURG (R,Write In  ,Berrysburg Borough,0,0,0,0,0,0,0,0,0,0
AUDITOR 4YR JACKSON (D,Write In  ,Jackson Township,5,0,0,0,5,5,0,0,0,5
AUDITOR 4YR JACKSON (R,Write In  ,Jackson Township,7,0,0,0,7,7,0,0,0,7
AUDITOR 4YR REED (D,Write In  ,Reed Township,0,0,0,0,0,0,0,0,0,0
AUDITOR 4YR REED (R,Tara L. SAKSEK,Reed Township,21,0,0,0,21,21,0,0,0,21
AUDITOR 4YR REED (R,Write In  ,Reed Township,0,0,0,0,0,0,0,0,0,0
AUDITOR 4YR ROYALTON (D,Write In  ,Royalton Borough--1st Ward,0,0,0,0,0,0,0,0,0,0
AUDITOR 4YR ROYALTON (D,Write In  ,Royalton Borough--2nd Ward,0,0,0,0,0,0,0,0,0,0
AUDITOR 4YR ROYALTON (R,Write In  ,Royalton Borough--1st Ward,0,0,0,0,0,1,0,0,0,1
AUDITOR 4YR ROYALTON (R,Write In  ,Royalton Borough--2nd Ward,1,0,0,0,1,1,0,0,0,1
AUDITOR 4YR RUSH (D,Write In  ,Rush Township,0,0,0,0,0,0,0,0,0,0
AUDITOR 4YR RUSH (R,Write In  ,Rush Township,0,0,0,0,0,0,0,0,0,0
AUDITOR 4YR SOUTH HAN (D,Write In  ,South Hanover Twp--1st Precinct,0,0,0,0,0,1,0,0,0,1
AUDITOR 4YR SOUTH HAN (D,Write In  ,South Hanover Twp--2nd Precinct,0,0,0,0,0,1,0,0,0,1
AUDITOR 4YR SOUTH HAN (D,Write In  ,South Hanover Twp--3rd Precinct,1,0,0,0,1,1,0,0,0,1
AUDITOR 4YR SOUTH HAN (R,Write In  ,South Hanover Twp--1st Precinct,2,0,0,0,2,9,0,0,0,9
AUDITOR 4YR SOUTH HAN (R,Write In  ,South Hanover Twp--2nd Precinct,3,0,0,0,3,9,0,0,0,9
AUDITOR 4YR SOUTH HAN (R,Write In  ,South Hanover Twp--3rd Precinct,4,0,0,0,4,9,0,0,0,9
AUDITOR 4YR WASH (D,Write In  ,Washington Township,0,0,0,0,0,0,0,0,0,0
AUDITOR 4YR WASH (R,Robert  KAUFFMAN,Washington Township,189,1,0,0,190,189,1,0,0,190
AUDITOR 4YR WASH (R,Write In  ,Washington Township,1,0,0,0,1,1,0,0,0,1
AUDITOR 4YR WEST HAN (D,Write In  ,West Hanover Twp--1st Precinct,0,0,0,0,0,3,0,0,0,3
AUDITOR 4YR WEST HAN (D,Write In  ,West Hanover Twp--2nd Precinct,1,0,0,0,1,3,0,0,0,3
AUDITOR 4YR WEST HAN (D,Write In  ,West Hanover Twp--3rd Precinct,1,0,0,0,1,3,0,0,0,3
