Cat_Namee,Can_Name,Name,C_Votes,ab_c_votes,ab_p_votes,ab_emer_votes1,rtot,Textbox5,Textbox7,Textbox11,ab_emer_votes,Textbox13
DEM COM MAN BERRYSBURG,Write In  ,Berrysburg Borough,0,0,0,0,0,0,0,0,0,0
DEM COM MAN CONEWAGO 1,Write In  ,Conewago Twp--1st Precinct,1,0,0,0,1,1,0,0,0,1
DEM COM MAN CONEWAGO 2,Write In  ,Conewago Twp--2nd Precinct,1,0,0,0,1,1,0,0,0,1
DEM COM MAN DAUPHIN BORO,Write In  ,Dauphin Borough,1,0,0,0,1,1,0,0,0,1
DEM COM MAN DERRY 1,"Frank E. FERGUSON, SR",Derry Township--1st Precinct,125,1,0,0,126,125,1,0,0,126
DEM COM MAN DERRY 1,Write In  ,Derry Township--1st Precinct,0,0,0,0,0,0,0,0,0,0
DEM COM MAN DERRY 10,Write In  ,Derry Township--10th Precinct,3,0,0,0,3,3,0,0,0,3
DEM COM MAN DERRY 11,James T. SAXTON,Derry Township--11th Precinct,99,2,0,0,101,99,2,0,0,101
DEM COM MAN DERRY 11,Write In  ,Derry Township--11th Precinct,1,0,0,0,1,1,0,0,0,1
DEM COM MAN DERRY 12,Michael G. JARMAN,Derry Township--12th Precinct,78,0,0,0,78,78,0,0,0,78
DEM COM MAN DERRY 12,Write In  ,Derry Township--12th Precinct,7,0,0,0,7,7,0,0,0,7
DEM COM MAN DERRY 13,Write In  ,Derry Township--13th Precinct,3,0,0,0,3,3,0,0,0,3
DEM COM MAN DERRY 14,Write In  ,Derry Township--14th Precinct,0,0,0,0,0,0,0,0,0,0
DEM COM MAN DERRY 15,Write In  ,Derry Township--15th Precinct,6,0,0,0,6,6,0,0,0,6
DEM COM MAN DERRY 2,John B.N. DUNN,Derry Township--2nd Precinct,88,0,0,0,88,88,0,0,0,88
DEM COM MAN DERRY 2,Write In  ,Derry Township--2nd Precinct,0,0,0,0,0,0,0,0,0,0
DEM COM MAN DERRY 3,Write In  ,Derry Township--3rd Precinct,3,0,0,0,3,3,0,0,0,3
DEM COM MAN DERRY 4,Write In  ,Derry Township--4th Precinct,1,0,0,0,1,1,0,0,0,1
DEM COM MAN DERRY 5,Write In  ,Derry Township--5th Precinct,2,0,0,0,2,2,0,0,0,2
DEM COM MAN DERRY 6,Write In  ,Derry Township--6th Precinct,3,0,0,0,3,3,0,0,0,3
DEM COM MAN DERRY 7,Write In  ,Derry Township--7th Precinct,2,0,0,0,2,2,0,0,0,2
DEM COM MAN DERRY 8,Write In  ,Derry Township--8th Precinct,2,0,0,0,2,2,0,0,0,2
DEM COM MAN DERRY 9,Write In  ,Derry Township--9th Precinct,1,0,0,0,1,1,0,0,0,1
DEM COM MAN E HANOVER 1,Write In  ,East Hanover Township--1st Precinct,1,0,0,0,1,1,0,0,0,1
DEM COM MAN E HANOVER 2,Write In  ,East Hanover Township--2nd Precinct,2,0,0,0,2,2,0,0,0,2
DEM COM MAN E-VILLE BORO,Write In  ,Elizabethville Borough,0,0,0,0,0,0,0,0,0,0
DEM COM MAN GRATZ BORO,Write In  ,Gratz Borough,0,0,0,0,0,0,0,0,0,0
DEM COM MAN HALIFAX BORO,"Brydon  LIDLE, JR.",Halifax Borough,26,0,0,0,26,26,0,0,0,26
DEM COM MAN HALIFAX BORO,Write In  ,Halifax Borough,0,0,0,0,0,0,0,0,0,0
DEM COM MAN HALIFAX TWP 1,Write In  ,Halifax Twp--1st Precinct,3,0,0,0,3,3,0,0,0,3
DEM COM MAN HALIFAX TWP 2,William F. KRENZ,Halifax Twp--2nd Precinct,58,0,0,0,58,58,0,0,0,58
DEM COM MAN HALIFAX TWP 2,Write In  ,Halifax Twp--2nd Precinct,0,0,0,0,0,0,0,0,0,0
DEM COM MAN HBG 10-1,Dan  MILLER,"City--10th Ward, 1st Precinct",219,3,1,0,223,219,3,1,0,223
DEM COM MAN HBG 10-1,Write In  ,"City--10th Ward, 1st Precinct",0,0,0,0,0,0,0,0,0,0
DEM COM MAN HBG 10-2,Ellis R. ROY,"City--10th Ward, 2nd Precinct",129,0,0,0,129,129,0,0,0,129
DEM COM MAN HBG 10-2,Write In  ,"City--10th Ward, 2nd Precinct",1,0,0,0,1,1,0,0,0,1
DEM COM MAN HBG 10-3,Randall R. SMEDLEY,"City--10th Ward, 3rd Precinct",12,2,0,0,14,12,2,0,0,14
DEM COM MAN HBG 10-3,Robert Bo THIEMANN,"City--10th Ward, 3rd Precinct",18,0,0,0,18,18,0,0,0,18
DEM COM MAN HBG 10-3,Shaun E. O'TOOLE,"City--10th Ward, 3rd Precinct",54,5,0,0,59,54,5,0,0,59
DEM COM MAN HBG 10-3,Write In  ,"City--10th Ward, 3rd Precinct",0,0,0,0,0,0,0,0,0,0
DEM COM MAN HBG 10-4,Raimond  DAVID,"City--10th Ward, 4th Precinct",107,1,0,0,108,107,1,0,0,108
DEM COM MAN HBG 10-4,Write In  ,"City--10th Ward, 4th Precinct",3,0,0,0,3,3,0,0,0,3
DEM COM MAN HBG 11,Ron  BOSTON,City--11th Ward,81,10,0,0,91,81,10,0,0,91
DEM COM MAN HBG 11,Ron  TILLEY,City--11th Ward,56,6,0,0,62,56,6,0,0,62
DEM COM MAN HBG 11,Write In  ,City--11th Ward,0,0,0,0,0,0,0,0,0,0
DEM COM MAN HBG 1-1,George  DIXON,"City--1st Ward, 1st Precinct",38,3,0,0,41,38,3,0,0,41
DEM COM MAN HBG 1-1,Write In  ,"City--1st Ward, 1st Precinct",38,0,0,0,38,38,0,0,0,38
DEM COM MAN HBG 12,Ben  ALLATT,City--12th Ward,188,8,0,0,196,188,8,0,0,196
DEM COM MAN HBG 12,Write In  ,City--12th Ward,1,0,0,0,1,1,0,0,0,1
DEM COM MAN HBG 1-2,Freeman  RICHARD,"City--1st Ward, 2nd Precinct",140,1,0,0,141,140,1,0,0,141
DEM COM MAN HBG 1-2,Write In  ,"City--1st Ward, 2nd Precinct",4,0,0,0,4,4,0,0,0,4
DEM COM MAN HBG 1-3,Write In  ,"City--1st Ward, 3rd Precinct",1,0,0,0,1,1,0,0,0,1
DEM COM MAN HBG 13-1,Write In  ,"City--13th Ward, 1st Precinct",13,0,0,0,13,13,0,0,0,13
DEM COM MAN HBG 13-2,Steven M. KETTERER,"City--13th Ward, 2nd Precinct",113,0,0,0,113,113,0,0,0,113
DEM COM MAN HBG 13-2,Write In  ,"City--13th Ward, 2nd Precinct",0,0,0,0,0,0,0,0,0,0
DEM COM MAN HBG 13-3,Jim  AKERS,"City--13th Ward, 3rd Precinct",144,0,0,0,144,144,0,0,0,144
DEM COM MAN HBG 13-3,Write In  ,"City--13th Ward, 3rd Precinct",2,0,0,0,2,2,0,0,0,2
DEM COM MAN HBG 14,Howard J. PARKER,City--14th Ward,239,5,0,0,244,239,5,0,0,244
DEM COM MAN HBG 14,Write In  ,City--14th Ward,0,0,0,0,0,0,0,0,0,0
DEM COM MAN HBG 15,Write In  ,City--15th Ward,0,0,0,0,0,0,0,0,0,0
DEM COM MAN HBG 2-1,Write In  ,"City--2nd Ward, 1st Precinct",2,0,0,0,2,2,0,0,0,2
DEM COM MAN HBG 2-2,Write In  ,"City--2nd Ward, 2nd Precinct",1,0,0,0,1,1,0,0,0,1
DEM COM MAN HBG 3,Write In  ,City--3rd Ward,0,0,0,0,0,0,0,0,0,0
DEM COM MAN HBG 4,Alex  REBER,City--4th Ward,132,6,0,0,138,132,6,0,0,138
DEM COM MAN HBG 4,Write In  ,City--4th Ward,0,0,0,0,0,0,0,0,0,0
DEM COM MAN HBG 5,Roy E. CHRIST,City--5th Ward,261,8,1,0,270,261,8,1,0,270
DEM COM MAN HBG 5,Write In  ,City--5th Ward,0,0,0,0,0,0,0,0,0,0
DEM COM MAN HBG 6,Write In  ,City--6th Ward,24,0,0,0,24,24,0,0,0,24
DEM COM MAN HBG 7-1,Write In  ,"City--7th Ward, 1st Precinct",2,0,0,0,2,2,0,0,0,2
DEM COM MAN HBG 7-2,Barton A. FIELDS,"City--7th Ward, 2nd Precinct",215,1,0,0,216,215,1,0,0,216
DEM COM MAN HBG 7-2,Write In  ,"City--7th Ward, 2nd Precinct",0,0,0,0,0,0,0,0,0,0
DEM COM MAN HBG 8,Michael A. STEWART,City--8th Ward,183,0,1,0,184,183,0,1,0,184
DEM COM MAN HBG 8,Write In  ,City--8th Ward,0,0,0,0,0,0,0,0,0,0
DEM COM MAN HBG 9-1,Brian K. HUMPHREY,"City--9th Ward, 1st Precinct",57,1,0,0,58,57,1,0,0,58
DEM COM MAN HBG 9-1,Write In  ,"City--9th Ward, 1st Precinct",0,0,0,0,0,0,0,0,0,0
DEM COM MAN HBG 9-2,Write In  ,"City--9th Ward, 2nd Precinct",4,0,0,0,4,4,0,0,0,4
DEM COM MAN HBG 9-3,Write In  ,"City--9th Ward, 3rd Precinct",3,0,0,0,3,3,0,0,0,3
DEM COM MAN HBG 9-4,Write In  ,"City--9th Ward, 4th Precinct",23,0,0,0,23,23,0,0,0,23
DEM COM MAN HBG 9-5,Write In  ,"City--9th Ward, 5th Precinct",4,0,0,0,4,4,0,0,0,4
DEM COM MAN HIGHSPIRE 1,Write In  ,Highspire--1st Precinct,3,0,0,0,3,3,0,0,0,3
DEM COM MAN HIGHSPIRE 2,Write In  ,Highspire--2nd Precinct,2,0,0,0,2,2,0,0,0,2
DEM COM MAN HUMMELSTWN 1,Write In  ,Hummelstown--1st Precinct,0,0,0,0,0,0,0,0,0,0
DEM COM MAN HUMMELSTWN 2,Write In  ,Hummelstown--2nd Precinct,2,0,0,0,2,2,0,0,0,2
DEM COM MAN JACKSON TWP,Write In  ,Jackson Township,3,0,0,0,3,3,0,0,0,3
DEM COM MAN JEFFERSON TWP,Write In  ,Jefferson Township,0,0,0,0,0,0,0,0,0,0
DEM COM MAN LONDONDERRY 1,Write In  ,Londonderry Twp--1st Precinct,1,0,0,0,1,1,0,0,0,1
DEM COM MAN LONDONDERRY 2,Write In  ,Londonderry Twp--2nd Precinct,1,0,0,0,1,1,0,0,0,1
DEM COM MAN LONDONDERRY 3,Write In  ,Londonderry Twp--3rd Precinct,2,0,0,0,2,2,0,0,0,2
DEM COM MAN LOWER SWAT 1,Write In  ,Lower Swatara Twp--1st Precinct,0,0,0,0,0,0,0,0,0,0
DEM COM MAN LOWER SWAT 2,Timothy  TRUAX,Lower Swatara Twp--2nd Precinct,112,5,0,0,117,112,5,0,0,117
DEM COM MAN LOWER SWAT 2,Write In  ,Lower Swatara Twp--2nd Precinct,0,0,0,0,0,0,0,0,0,0
DEM COM MAN LOWER SWAT 3,Write In  ,Lower Swatara Twp--3rd Precinct,3,0,0,0,3,3,0,0,0,3
DEM COM MAN LOWER SWAT 4,Write In  ,Lower Swatara Twp--4th Precinct,0,0,0,0,0,0,0,0,0,0
DEM COM MAN LP 1,Write In  ,Lower Paxton Twp--1st Precinct,2,0,0,0,2,2,0,0,0,2
DEM COM MAN LP 10,Write In  ,Lower Paxton Twp--10th Precinct,7,0,0,0,7,7,0,0,0,7
