Cat_Namee,Can_Name,Name,C_Votes,ab_c_votes,ab_p_votes,ab_emer_votes1,rtot,Textbox5,Textbox7,Textbox11,ab_emer_votes,Textbox13
"Auditor of Berrysburg, 2-Year Term",Write In  ,Berrysburg Borough,1,0,0,0,1,1,0,0,0,1
"Auditor of Berrysburg, 4-Year Term",Lisa  ROTHARMEL,Berrysburg Borough,33,0,0,0,33,33,0,0,0,33
"Auditor of Berrysburg, 4-Year Term",Write In  ,Berrysburg Borough,0,0,0,0,0,0,0,0,0,0
"Auditor of Berrysburg, 6-Year Term",Write In  ,Berrysburg Borough,2,0,0,0,2,2,0,0,0,2
"Auditor of Conewago, 2-Year Term",Write In  ,Conewago Twp--1st Precinct,5,0,0,0,5,20,0,0,0,20
"Auditor of Conewago, 2-Year Term",Write In  ,Conewago Twp--2nd Precinct,15,0,0,0,15,20,0,0,0,20
"Auditor of Conewago, 6-Year Term",Write In  ,Conewago Twp--1st Precinct,5,0,0,0,5,20,0,0,0,20
"Auditor of Conewago, 6-Year Term",Write In  ,Conewago Twp--2nd Precinct,15,0,0,0,15,20,0,0,0,20
Auditor of Derry,Write In  ,Derry Township--1st Precinct,1,0,0,0,1,26,0,0,0,26
Auditor of Derry,Write In  ,Derry Township--2nd Precinct,0,0,0,0,0,26,0,0,0,26
Auditor of Derry,Write In  ,Derry Township--3rd Precinct,1,0,0,0,1,26,0,0,0,26
Auditor of Derry,Write In  ,Derry Township--4th Precinct,2,0,0,0,2,26,0,0,0,26
Auditor of Derry,Write In  ,Derry Township--5th Precinct,0,0,0,0,0,26,0,0,0,26
Auditor of Derry,Write In  ,Derry Township--6th Precinct,1,0,0,0,1,26,0,0,0,26
Auditor of Derry,Write In  ,Derry Township--7th Precinct,4,0,0,0,4,26,0,0,0,26
Auditor of Derry,Write In  ,Derry Township--8th Precinct,1,0,0,0,1,26,0,0,0,26
Auditor of Derry,Write In  ,Derry Township--9th Precinct,0,0,0,0,0,26,0,0,0,26
