Cat_Namee,Can_Name,Name,C_Votes,ab_c_votes,ab_p_votes,ab_emer_votes1,rtot,Textbox5,Textbox7,Textbox11,ab_emer_votes,Textbox13
ALT DELEGATE (D,Dwight  GREENE,"City--1st Ward, 1st Precinct",60,10,0,0,70,19649,661,49,0,20359
ALT DELEGATE (D,Dwight  GREENE,"City--1st Ward, 2nd Precinct",218,2,0,0,220,19649,661,49,0,20359
ALT DELEGATE (D,Dwight  GREENE,"City--1st Ward, 3rd Precinct",120,3,1,0,124,19649,661,49,0,20359
ALT DELEGATE (D,Dwight  GREENE,"City--2nd Ward, 1st Precinct",84,3,0,0,87,19649,661,49,0,20359
ALT DELEGATE (D,Dwight  GREENE,"City--2nd Ward, 2nd Precinct",115,3,4,0,122,19649,661,49,0,20359
ALT DELEGATE (D,Dwight  GREENE,City--3rd Ward,101,3,0,0,104,19649,661,49,0,20359
ALT DELEGATE (D,Dwight  GREENE,City--4th Ward,156,9,0,0,165,19649,661,49,0,20359
ALT DELEGATE (D,Dwight  GREENE,City--5th Ward,252,11,0,0,263,19649,661,49,0,20359
ALT DELEGATE (D,Dwight  GREENE,City--6th Ward,154,3,3,0,160,19649,661,49,0,20359
ALT DELEGATE (D,Dwight  GREENE,"City--7th Ward, 1st Precinct",103,2,0,0,105,19649,661,49,0,20359
ALT DELEGATE (D,Dwight  GREENE,"City--7th Ward, 2nd Precinct",393,6,1,0,400,19649,661,49,0,20359
ALT DELEGATE (D,Dwight  GREENE,City--8th Ward,268,7,0,0,275,19649,661,49,0,20359
ALT DELEGATE (D,Dwight  GREENE,"City--9th Ward, 1st Precinct",117,3,0,0,120,19649,661,49,0,20359
ALT DELEGATE (D,Dwight  GREENE,"City--9th Ward, 2nd Precinct",191,3,14,0,208,19649,661,49,0,20359
ALT DELEGATE (D,Dwight  GREENE,"City--9th Ward, 3rd Precinct",349,6,2,0,357,19649,661,49,0,20359
ALT DELEGATE (D,Dwight  GREENE,"City--9th Ward, 4th Precinct",200,8,0,0,208,19649,661,49,0,20359
ALT DELEGATE (D,Dwight  GREENE,"City--9th Ward, 5th Precinct",176,4,2,0,182,19649,661,49,0,20359
ALT DELEGATE (D,Dwight  GREENE,"City--10th Ward, 1st Precinct",316,7,1,0,324,19649,661,49,0,20359
ALT DELEGATE (D,Dwight  GREENE,"City--10th Ward, 2nd Precinct",210,3,0,0,213,19649,661,49,0,20359
ALT DELEGATE (D,Dwight  GREENE,"City--10th Ward, 3rd Precinct",52,4,0,0,56,19649,661,49,0,20359
ALT DELEGATE (D,Dwight  GREENE,"City--10th Ward, 4th Precinct",250,1,0,0,251,19649,661,49,0,20359
ALT DELEGATE (D,Dwight  GREENE,City--11th Ward,214,7,1,0,222,19649,661,49,0,20359
ALT DELEGATE (D,Dwight  GREENE,City--12th Ward,237,7,0,0,244,19649,661,49,0,20359
ALT DELEGATE (D,Dwight  GREENE,"City--13th Ward, 1st Precinct",182,1,0,0,183,19649,661,49,0,20359
ALT DELEGATE (D,Dwight  GREENE,"City--13th Ward, 2nd Precinct",180,2,0,0,182,19649,661,49,0,20359
ALT DELEGATE (D,Dwight  GREENE,"City--13th Ward, 3rd Precinct",229,5,0,0,234,19649,661,49,0,20359
ALT DELEGATE (D,Dwight  GREENE,City--14th Ward,263,8,0,0,271,19649,661,49,0,20359
ALT DELEGATE (D,Dwight  GREENE,City--15th Ward,163,2,0,0,165,19649,661,49,0,20359
ALT DELEGATE (D,Dwight  GREENE,Berrysburg Borough,5,0,0,0,5,19649,661,49,0,20359
ALT DELEGATE (D,Dwight  GREENE,Dauphin Borough,38,0,0,0,38,19649,661,49,0,20359
