Cat_Namee,Can_Name,Name,C_Votes,ab_c_votes,ab_p_votes,ab_emer_votes1,rtot,Textbox5,Textbox7,Textbox11,ab_emer_votes,Textbox13
BERRYSBURG AUD 4YR -D,Write In  ,Berrysburg Borough,0,0,0,0,0,0,0,0,0,0
BERRYSBURG AUD 4YR -R,Write In  ,Berrysburg Borough,0,0,0,0,0,0,0,0,0,0
BERRYSBURG AUD 6YR -D,Write In  ,Berrysburg Borough,0,0,0,0,0,0,0,0,0,0
BERRYSBURG AUD 6YR -R,Write In  ,Berrysburg Borough,0,0,0,0,0,0,0,0,0,0
BERRYSBURG COUNCIL 2YR -D,Write In  ,Berrysburg Borough,0,0,0,0,0,0,0,0,0,0
BERRYSBURG COUNCIL 2YR -R,Write In  ,Berrysburg Borough,1,0,0,0,1,1,0,0,0,1
BERRYSBURG COUNCIL 4YR -D,Write In  ,Berrysburg Borough,1,0,0,0,1,1,0,0,0,1
BERRYSBURG COUNCIL 4YR -R,Write In  ,Berrysburg Borough,3,0,0,0,3,3,0,0,0,3
BERRYSBURG TAX COLL -D,Write In  ,Berrysburg Borough,0,0,0,0,0,0,0,0,0,0
BERRYSBURG TAX COLL -R,Write In  ,Berrysburg Borough,0,0,0,0,0,0,0,0,0,0
"CD REG 1, 2YR -D",Jeanne Fortney WEBSTER,Paxtang Borough,52,3,0,0,55,834,11,0,0,845
"CD REG 1, 2YR -D",Jeanne Fortney WEBSTER,Penbrook Borough--1st Ward,18,0,0,0,18,834,11,0,0,845
"CD REG 1, 2YR -D",Jeanne Fortney WEBSTER,Penbrook Borough--2nd Ward,10,0,0,0,10,834,11,0,0,845
"CD REG 1, 2YR -D",Jeanne Fortney WEBSTER,Penbrook Borough--3rd Ward,17,0,0,0,17,834,11,0,0,845
"CD REG 1, 2YR -D",Jeanne Fortney WEBSTER,Penbrook Borough--4th Ward,23,0,0,0,23,834,11,0,0,845
"CD REG 1, 2YR -D",Jeanne Fortney WEBSTER,Swatara Township--1st Ward,78,0,0,0,78,834,11,0,0,845
"CD REG 1, 2YR -D",Jeanne Fortney WEBSTER,Swatara Township--2nd Ward,57,0,0,0,57,834,11,0,0,845
"CD REG 1, 2YR -D",Jeanne Fortney WEBSTER,Swatara Township--3rd Ward,82,1,0,0,83,834,11,0,0,845
"CD REG 1, 2YR -D",Jeanne Fortney WEBSTER,Swatara Township--4th Ward,80,1,0,0,81,834,11,0,0,845
"CD REG 1, 2YR -D",Jeanne Fortney WEBSTER,Swatara Township--5th Ward,78,1,0,0,79,834,11,0,0,845
"CD REG 1, 2YR -D",Jeanne Fortney WEBSTER,Swatara Township--6th Ward,68,0,0,0,68,834,11,0,0,845
"CD REG 1, 2YR -D",Jeanne Fortney WEBSTER,Swatara Township--7th Ward,130,4,0,0,134,834,11,0,0,845
"CD REG 1, 2YR -D",Jeanne Fortney WEBSTER,Swatara Township--8th Ward,87,1,0,0,88,834,11,0,0,845
"CD REG 1, 2YR -D",Jeanne Fortney WEBSTER,Swatara Township--9th Ward,54,0,0,0,54,834,11,0,0,845
"CD REG 1, 2YR -D",Write In  ,Paxtang Borough,0,0,0,0,0,3,0,0,0,3
"CD REG 1, 2YR -D",Write In  ,Penbrook Borough--1st Ward,0,0,0,0,0,3,0,0,0,3
"CD REG 1, 2YR -D",Write In  ,Penbrook Borough--2nd Ward,0,0,0,0,0,3,0,0,0,3
"CD REG 1, 2YR -D",Write In  ,Penbrook Borough--3rd Ward,0,0,0,0,0,3,0,0,0,3
"CD REG 1, 2YR -D",Write In  ,Penbrook Borough--4th Ward,0,0,0,0,0,3,0,0,0,3
"CD REG 1, 2YR -D",Write In  ,Swatara Township--1st Ward,0,0,0,0,0,3,0,0,0,3
"CD REG 1, 2YR -D",Write In  ,Swatara Township--2nd Ward,0,0,0,0,0,3,0,0,0,3
"CD REG 1, 2YR -D",Write In  ,Swatara Township--3rd Ward,0,0,0,0,0,3,0,0,0,3
"CD REG 1, 2YR -D",Write In  ,Swatara Township--4th Ward,0,0,0,0,0,3,0,0,0,3
"CD REG 1, 2YR -D",Write In  ,Swatara Township--5th Ward,0,0,0,0,0,3,0,0,0,3
"CD REG 1, 2YR -D",Write In  ,Swatara Township--6th Ward,0,0,0,0,0,3,0,0,0,3
