Cat_Namee,Can_Name,Name,C_Votes,ab_c_votes,ab_p_votes,ab_emer_votes1,rtot,Textbox5,Textbox7,Textbox11,ab_emer_votes,Textbox13
DEM COM MAN BERRYSBURG,Write In  ,Berrysburg Borough,7,0,0,0,7,7,0,0,0,7
DEM COM MAN CONEWAGO 1,Write In  ,Conewago Twp--1st Precinct,0,0,0,0,0,0,0,0,0,0
DEM COM MAN CONEWAGO 2,Write In  ,Conewago Twp--2nd Precinct,0,0,0,0,0,0,0,0,0,0
DEM COM MAN DAUPHIN,Write In  ,Dauphin Borough,0,0,0,0,0,0,0,0,0,0
DEM COM MAN DERRY 1,"Frank E. FERGUSON, SR.",Derry Township--1st Precinct,99,1,0,0,100,99,1,0,0,100
DEM COM MAN DERRY 1,Write In  ,Derry Township--1st Precinct,1,0,0,0,1,1,0,0,0,1
DEM COM MAN DERRY 10,Write In  ,Derry Township--10th Precinct,3,0,0,0,3,3,0,0,0,3
DEM COM MAN DERRY 11,Write In  ,Derry Township--11th Precinct,4,0,0,0,4,4,0,0,0,4
DEM COM MAN DERRY 12,Steven  TODD,Derry Township--12th Precinct,60,1,0,0,61,60,1,0,0,61
DEM COM MAN DERRY 12,Write In  ,Derry Township--12th Precinct,1,0,0,0,1,1,0,0,0,1
DEM COM MAN DERRY 13,Peter C. FOLTZ,Derry Township--13th Precinct,59,1,0,0,60,59,1,0,0,60
DEM COM MAN DERRY 13,Write In  ,Derry Township--13th Precinct,0,0,0,0,0,0,0,0,0,0
DEM COM MAN DERRY 14,Write In  ,Derry Township--14th Precinct,0,0,0,0,0,0,0,0,0,0
DEM COM MAN DERRY 15,James H. CARTER,Derry Township--15th Precinct,95,1,0,0,96,95,1,0,0,96
DEM COM MAN DERRY 15,Write In  ,Derry Township--15th Precinct,0,0,0,0,0,0,0,0,0,0
DEM COM MAN DERRY 2,Philip  JURUS,Derry Township--2nd Precinct,32,0,0,0,32,32,0,0,0,32
DEM COM MAN DERRY 2,Russell  BIGGICA,Derry Township--2nd Precinct,30,0,1,0,31,30,0,1,0,31
DEM COM MAN DERRY 2,Write In  ,Derry Township--2nd Precinct,1,0,0,0,1,1,0,0,0,1
DEM COM MAN DERRY 3,Philip J. FRIEDRICH,Derry Township--3rd Precinct,61,1,0,0,62,61,1,0,0,62
DEM COM MAN DERRY 3,Write In  ,Derry Township--3rd Precinct,0,0,0,0,0,0,0,0,0,0
DEM COM MAN DERRY 4,Write In  ,Derry Township--4th Precinct,1,0,0,0,1,1,0,0,0,1
DEM COM MAN DERRY 5,Stephen L. BALLARD,Derry Township--5th Precinct,26,1,0,0,27,26,1,0,0,27
DEM COM MAN DERRY 5,Write In  ,Derry Township--5th Precinct,0,0,0,0,0,0,0,0,0,0
DEM COM MAN DERRY 6,Write In  ,Derry Township--6th Precinct,0,0,0,0,0,0,0,0,0,0
DEM COM MAN DERRY 7,Write In  ,Derry Township--7th Precinct,0,0,0,0,0,0,0,0,0,0
DEM COM MAN DERRY 8,Write In  ,Derry Township--8th Precinct,0,0,0,0,0,0,0,0,0,0
DEM COM MAN DERRY 9,Write In  ,Derry Township--9th Precinct,0,0,0,0,0,0,0,0,0,0
DEM COM MAN EAST HAN 1,Write In  ,East Hanover Township--1st Precinct,1,0,0,0,1,1,0,0,0,1
DEM COM MAN EAST HAN 2,Write In  ,East Hanover Township--2nd Precinct,3,0,0,0,3,3,0,0,0,3
DEM COM MAN E-VILLE,Write In  ,Elizabethville Borough,4,0,0,0,4,4,0,0,0,4
DEM COM MAN GRATZ,Write In  ,Gratz Borough,0,0,0,0,0,0,0,0,0,0
DEM COM MAN HALIFAX BORO,"Brydon Mike LIDLE, JR.",Halifax Borough,24,0,0,0,24,24,0,0,0,24
DEM COM MAN HALIFAX BORO,Write In  ,Halifax Borough,0,0,0,0,0,0,0,0,0,0
DEM COM MAN HALIFAX TWP 1,Write In  ,Halifax Twp--1st Precinct,2,0,0,0,2,2,0,0,0,2
DEM COM MAN HALIFAX TWP 2,Robert W. KNOTT,Halifax Twp--2nd Precinct,56,0,0,0,56,56,0,0,0,56
DEM COM MAN HALIFAX TWP 2,Write In  ,Halifax Twp--2nd Precinct,0,0,0,0,0,0,0,0,0,0
DEM COM MAN HBG 10-1,Write In  ,"City--10th Ward, 1st Precinct",13,0,0,0,13,13,0,0,0,13
DEM COM MAN HBG 10-2,Ellis R. Rick ROY,"City--10th Ward, 2nd Precinct",115,0,0,0,115,115,0,0,0,115
DEM COM MAN HBG 10-2,Write In  ,"City--10th Ward, 2nd Precinct",0,0,0,0,0,0,0,0,0,0
DEM COM MAN HBG 10-3,Shaun E. O'TOOLE,"City--10th Ward, 3rd Precinct",68,4,0,0,72,68,4,0,0,72
DEM COM MAN HBG 10-3,Write In  ,"City--10th Ward, 3rd Precinct",0,0,0,0,0,0,0,0,0,0
DEM COM MAN HBG 10-4,Write In  ,"City--10th Ward, 4th Precinct",56,0,0,0,56,56,0,0,0,56
DEM COM MAN HBG 11,"Ronald C. BOSTON, JR.",City--11th Ward,106,10,0,0,116,106,10,0,0,116
DEM COM MAN HBG 11,Write In  ,City--11th Ward,3,0,0,0,3,3,0,0,0,3
DEM COM MAN HBG 1-1,"Peter V. MARKS, SR.","City--1st Ward, 1st Precinct",67,3,0,0,70,67,3,0,0,70
DEM COM MAN HBG 1-1,Write In  ,"City--1st Ward, 1st Precinct",0,0,0,0,0,0,0,0,0,0
DEM COM MAN HBG 12,Brendan  MURRAY,City--12th Ward,178,3,0,0,181,178,3,0,0,181
DEM COM MAN HBG 12,Write In  ,City--12th Ward,0,0,0,0,0,0,0,0,0,0
