Cat_Namee,Can_Name,Name,C_Votes,ab_c_votes,ab_p_votes,ab_emer_votes1,rtot,Textbox5,Textbox7,Textbox11,ab_emer_votes,Textbox13
AUDITOR  LONDONDERRY,Paul M. GEYER,Londonderry Twp--1st Precinct,155,4,0,0,159,415,8,0,0,423
AUDITOR  LONDONDERRY,Paul M. GEYER,Londonderry Twp--2nd Precinct,168,4,0,0,172,415,8,0,0,423
AUDITOR  LONDONDERRY,Paul M. GEYER,Londonderry Twp--3rd Precinct,92,0,0,0,92,415,8,0,0,423
AUDITOR  LONDONDERRY,Write In  ,Londonderry Twp--1st Precinct,2,0,0,0,2,3,0,0,0,3
AUDITOR  LONDONDERRY,Write In  ,Londonderry Twp--2nd Precinct,1,0,0,0,1,3,0,0,0,3
AUDITOR  LONDONDERRY,Write In  ,Londonderry Twp--3rd Precinct,0,0,0,0,0,3,0,0,0,3
AUDITOR  LYKENS,Violet E. HARTMAN,Lykens Township,120,0,1,0,121,120,0,1,0,121
AUDITOR  LYKENS,Write In  ,Lykens Township,0,0,0,0,0,0,0,0,0,0
AUDITOR 2YR BERRYSBURG,Write In  ,Berrysburg Borough,2,0,0,0,2,2,0,0,0,2
AUDITOR 2YR GRATZ,Jeffrey T. HEPLER,Gratz Borough,97,1,0,0,98,97,1,0,0,98
AUDITOR 2YR GRATZ,Write In  ,Gratz Borough,0,0,0,0,0,0,0,0,0,0
AUDITOR 2YR PAXTANG,Write In  ,Paxtang Borough,3,0,0,0,3,3,0,0,0,3
AUDITOR 2YR REED,Millie L. RAINEY,Reed Township,38,0,0,0,38,38,0,0,0,38
AUDITOR 2YR REED,Write In  ,Reed Township,0,0,0,0,0,0,0,0,0,0
AUDITOR 2YR WEST HAN,Write In  ,West Hanover Twp--1st Precinct,1,0,0,0,1,5,0,0,0,5
AUDITOR 2YR WEST HAN,Write In  ,West Hanover Twp--2nd Precinct,0,0,0,0,0,5,0,0,0,5
AUDITOR 2YR WEST HAN,Write In  ,West Hanover Twp--3rd Precinct,3,0,0,0,3,5,0,0,0,5
AUDITOR 2YR WEST HAN,Write In  ,West Hanover Twp--4th Precinct,1,0,0,0,1,5,0,0,0,5
AUDITOR 4YR BERRYSBURG,Write In  ,Berrysburg Borough,5,0,0,0,5,5,0,0,0,5
AUDITOR 4YR JACKSON,Write In  ,Jackson Township,4,0,0,0,4,4,0,0,0,4
AUDITOR 4YR REED,Tara L. SAKSEK,Reed Township,36,0,0,0,36,36,0,0,0,36
AUDITOR 4YR REED,Write In  ,Reed Township,0,0,0,0,0,0,0,0,0,0
AUDITOR 4YR ROYALTON,Write In  ,Royalton Borough--1st Ward,0,0,0,0,0,1,0,0,0,1
AUDITOR 4YR ROYALTON,Write In  ,Royalton Borough--2nd Ward,1,0,0,0,1,1,0,0,0,1
AUDITOR 4YR RUSH,Write In  ,Rush Township,0,0,0,0,0,0,0,0,0,0
AUDITOR 4YR SOUTH HAN,Write In  ,South Hanover Twp--1st Precinct,2,0,0,0,2,5,0,0,0,5
AUDITOR 4YR SOUTH HAN,Write In  ,South Hanover Twp--2nd Precinct,2,0,0,0,2,5,0,0,0,5
AUDITOR 4YR SOUTH HAN,Write In  ,South Hanover Twp--3rd Precinct,1,0,0,0,1,5,0,0,0,5
AUDITOR 4YR WASH,Robert  KAUFFMAN,Washington Township,259,3,0,0,262,259,3,0,0,262
AUDITOR 4YR WASH,Write In  ,Washington Township,0,0,0,0,0,0,0,0,0,0
AUDITOR 4YR WEST HAN,Write In  ,West Hanover Twp--1st Precinct,1,0,0,0,1,5,0,0,0,5
AUDITOR 4YR WEST HAN,Write In  ,West Hanover Twp--2nd Precinct,0,0,0,0,0,5,0,0,0,5
AUDITOR 4YR WEST HAN,Write In  ,West Hanover Twp--3rd Precinct,3,0,0,0,3,5,0,0,0,5
AUDITOR 4YR WEST HAN,Write In  ,West Hanover Twp--4th Precinct,1,0,0,0,1,5,0,0,0,5
AUDITOR 6YR BERRYSBURG,Write In  ,Berrysburg Borough,3,0,0,0,3,3,0,0,0,3
AUDITOR 6YR GRATZ,Virginia  WIEST,Gratz Borough,95,1,0,0,96,95,1,0,0,96
AUDITOR 6YR GRATZ,Write In  ,Gratz Borough,0,0,0,0,0,0,0,0,0,0
AUDITOR 6YR JACKSON,Danielle M. ZEARING,Jackson Township,168,1,0,0,169,168,1,0,0,169
AUDITOR 6YR JACKSON,Susan  BUFFINGTON,Jackson Township,96,0,0,0,96,96,0,0,0,96
AUDITOR 6YR JACKSON,Write In  ,Jackson Township,0,0,0,0,0,0,0,0,0,0
AUDITOR 6YR PAXTANG,Write In  ,Paxtang Borough,3,0,0,0,3,3,0,0,0,3
AUDITOR 6YR REED,Robert T. SWOPE,Reed Township,37,0,0,0,37,37,0,0,0,37
AUDITOR 6YR REED,Write In  ,Reed Township,0,0,0,0,0,0,0,0,0,0
AUDITOR 6YR ROYALTON,Write In  ,Royalton Borough--1st Ward,0,0,0,0,0,2,0,0,0,2
AUDITOR 6YR ROYALTON,Write In  ,Royalton Borough--2nd Ward,2,0,0,0,2,2,0,0,0,2
AUDITOR 6YR RUSH,"Peter E. BOHR, SR.",Rush Township,24,1,0,0,25,24,1,0,0,25
AUDITOR 6YR RUSH,Write In  ,Rush Township,0,0,0,0,0,0,0,0,0,0
AUDITOR 6YR SOUTH HAN,Larry E. WATKINS,South Hanover Twp--1st Precinct,239,6,0,0,245,689,16,0,0,705
AUDITOR 6YR SOUTH HAN,Larry E. WATKINS,South Hanover Twp--2nd Precinct,274,3,0,0,277,689,16,0,0,705
AUDITOR 6YR SOUTH HAN,Larry E. WATKINS,South Hanover Twp--3rd Precinct,176,7,0,0,183,689,16,0,0,705
AUDITOR 6YR SOUTH HAN,Write In  ,South Hanover Twp--1st Precinct,0,0,0,0,0,0,0,0,0,0
AUDITOR 6YR SOUTH HAN,Write In  ,South Hanover Twp--2nd Precinct,0,0,0,0,0,0,0,0,0,0
AUDITOR 6YR SOUTH HAN,Write In  ,South Hanover Twp--3rd Precinct,0,0,0,0,0,0,0,0,0,0
AUDITOR 6YR WASH,Monica L. KOONTZ,Washington Township,254,3,0,0,257,254,3,0,0,257
AUDITOR 6YR WASH,Write In  ,Washington Township,0,0,0,0,0,0,0,0,0,0
AUDITOR 6YR WEST HAN,Write In  ,West Hanover Twp--1st Precinct,1,0,0,0,1,6,0,0,0,6
AUDITOR 6YR WEST HAN,Write In  ,West Hanover Twp--2nd Precinct,0,0,0,0,0,6,0,0,0,6
AUDITOR 6YR WEST HAN,Write In  ,West Hanover Twp--3rd Precinct,4,0,0,0,4,6,0,0,0,6
AUDITOR 6YR WEST HAN,Write In  ,West Hanover Twp--4th Precinct,1,0,0,0,1,6,0,0,0,6
AUDITOR CONEWAGO,Write In  ,Conewago Twp--1st Precinct,9,0,0,0,9,38,0,0,0,38
AUDITOR CONEWAGO,Write In  ,Conewago Twp--2nd Precinct,29,0,0,0,29,38,0,0,0,38
AUDITOR DERRY,Write In  ,Derry Township--1st Precinct,3,0,0,0,3,47,0,0,0,47
AUDITOR DERRY,Write In  ,Derry Township--2nd Precinct,1,0,0,0,1,47,0,0,0,47
AUDITOR DERRY,Write In  ,Derry Township--3rd Precinct,1,0,0,0,1,47,0,0,0,47
AUDITOR DERRY,Write In  ,Derry Township--4th Precinct,2,0,0,0,2,47,0,0,0,47
AUDITOR DERRY,Write In  ,Derry Township--5th Precinct,3,0,0,0,3,47,0,0,0,47
AUDITOR DERRY,Write In  ,Derry Township--6th Precinct,10,0,0,0,10,47,0,0,0,47
AUDITOR DERRY,Write In  ,Derry Township--7th Precinct,0,0,0,0,0,47,0,0,0,47
AUDITOR DERRY,Write In  ,Derry Township--8th Precinct,2,0,0,0,2,47,0,0,0,47
AUDITOR DERRY,Write In  ,Derry Township--9th Precinct,1,0,0,0,1,47,0,0,0,47
AUDITOR DERRY,Write In  ,Derry Township--10th Precinct,6,0,0,0,6,47,0,0,0,47
AUDITOR DERRY,Write In  ,Derry Township--11th Precinct,2,0,0,0,2,47,0,0,0,47
AUDITOR DERRY,Write In  ,Derry Township--12th Precinct,4,0,0,0,4,47,0,0,0,47
AUDITOR DERRY,Write In  ,Derry Township--13th Precinct,3,0,0,0,3,47,0,0,0,47
AUDITOR DERRY,Write In  ,Derry Township--14th Precinct,0,0,0,0,0,47,0,0,0,47
AUDITOR DERRY,Write In  ,Derry Township--15th Precinct,9,0,0,0,9,47,0,0,0,47
AUDITOR EAST HAN,Rosemarie C. DEVERS,East Hanover Township--1st Precinct,280,6,0,0,286,535,11,1,0,547
AUDITOR EAST HAN,Rosemarie C. DEVERS,East Hanover Township--2nd Precinct,255,5,1,0,261,535,11,1,0,547
AUDITOR EAST HAN,Write In  ,East Hanover Township--1st Precinct,1,0,0,0,1,1,0,0,0,1
AUDITOR EAST HAN,Write In  ,East Hanover Township--2nd Precinct,0,0,0,0,0,1,0,0,0,1
AUDITOR HALIFAX BORO,Connie J. ENDERS,Halifax Borough,70,2,0,0,72,70,2,0,0,72
AUDITOR HALIFAX BORO,Write In  ,Halifax Borough,0,0,0,0,0,0,0,0,0,0
AUDITOR HALIFAX TWP,Write In  ,Halifax Twp--1st Precinct,0,0,0,0,0,0,0,0,0,0
AUDITOR HALIFAX TWP,Write In  ,Halifax Twp--2nd Precinct,0,0,0,0,0,0,0,0,0,0
AUDITOR JEFFERSON,Pam  CRUM,Jefferson Township,43,0,0,0,43,43,0,0,0,43
AUDITOR JEFFERSON,Write In  ,Jefferson Township,0,0,0,0,0,0,0,0,0,0
AUDITOR LOW PAXTON,Jason  SKRINAK,Lower Paxton Twp--1st Precinct,190,6,0,0,196,6297,137,1,0,6435
AUDITOR LOW PAXTON,Jason  SKRINAK,Lower Paxton Twp--2nd Precinct,167,2,0,0,169,6297,137,1,0,6435
AUDITOR LOW PAXTON,Jason  SKRINAK,Lower Paxton Twp--3rd precinct,358,3,0,0,361,6297,137,1,0,6435
AUDITOR LOW PAXTON,Jason  SKRINAK,Lower Paxton Twp--4th Precinct,236,0,0,0,236,6297,137,1,0,6435
AUDITOR LOW PAXTON,Jason  SKRINAK,Lower Paxton Twp--5th Precinct,205,4,0,0,209,6297,137,1,0,6435
AUDITOR LOW PAXTON,Jason  SKRINAK,Lower Paxton Twp--6th Precinct,176,25,0,0,201,6297,137,1,0,6435
AUDITOR LOW PAXTON,Jason  SKRINAK,Lower Paxton Twp--7th Precinct,309,10,0,0,319,6297,137,1,0,6435
AUDITOR LOW PAXTON,Jason  SKRINAK,Lower Paxton Twp--8th Precinct,114,3,0,0,117,6297,137,1,0,6435
AUDITOR LOW PAXTON,Jason  SKRINAK,Lower Paxton Twp--9th Precinct,174,3,0,0,177,6297,137,1,0,6435
AUDITOR LOW PAXTON,Jason  SKRINAK,Lower Paxton Twp--10th Precinct,123,3,0,0,126,6297,137,1,0,6435
AUDITOR LOW PAXTON,Jason  SKRINAK,Lower Paxton Twp--11th Precinct,177,5,0,0,182,6297,137,1,0,6435
AUDITOR LOW PAXTON,Jason  SKRINAK,Lower Paxton Twp--12th Precinct,267,2,0,0,269,6297,137,1,0,6435
AUDITOR LOW PAXTON,Jason  SKRINAK,Lower Paxton Twp--13th Precinct,261,3,0,0,264,6297,137,1,0,6435
AUDITOR LOW PAXTON,Jason  SKRINAK,Lower Paxton Twp--14th Precinct,166,0,0,0,166,6297,137,1,0,6435
