Cat_Namee,Can_Name,Name,C_Votes,ab_c_votes,ab_p_votes,ab_emer_votes1,rtot,Textbox5,Textbox7,Textbox11,ab_emer_votes,Textbox13
ACT 24 UPPER DAUPHIN,NO,Berrysburg Borough,53,0,0,0,53,1102,19,2,0,1123
ACT 24 UPPER DAUPHIN,NO,Elizabethville Borough,163,3,0,0,166,1102,19,2,0,1123
ACT 24 UPPER DAUPHIN,NO,Gratz Borough,76,2,0,0,78,1102,19,2,0,1123
ACT 24 UPPER DAUPHIN,NO,Lykens Borough--1st Ward,86,0,0,0,86,1102,19,2,0,1123
ACT 24 UPPER DAUPHIN,NO,Lykens Borough--2nd Ward,85,4,0,0,89,1102,19,2,0,1123
ACT 24 UPPER DAUPHIN,NO,Pillow Borough,57,1,0,0,58,1102,19,2,0,1123
ACT 24 UPPER DAUPHIN,NO,Jefferson Township,73,0,0,0,73,1102,19,2,0,1123
ACT 24 UPPER DAUPHIN,NO,Lykens Township,112,0,2,0,114,1102,19,2,0,1123
ACT 24 UPPER DAUPHIN,NO,Mifflin Township,105,2,0,0,107,1102,19,2,0,1123
ACT 24 UPPER DAUPHIN,NO,Washington Township,292,7,0,0,299,1102,19,2,0,1123
ACT 24 UPPER DAUPHIN,YES,Berrysburg Borough,48,0,0,0,48,1053,16,0,0,1069
ACT 24 UPPER DAUPHIN,YES,Elizabethville Borough,152,1,0,0,153,1053,16,0,0,1069
ACT 24 UPPER DAUPHIN,YES,Gratz Borough,92,1,0,0,93,1053,16,0,0,1069
ACT 24 UPPER DAUPHIN,YES,Lykens Borough--1st Ward,80,2,0,0,82,1053,16,0,0,1069
ACT 24 UPPER DAUPHIN,YES,Lykens Borough--2nd Ward,121,4,0,0,125,1053,16,0,0,1069
ACT 24 UPPER DAUPHIN,YES,Pillow Borough,38,0,0,0,38,1053,16,0,0,1069
ACT 24 UPPER DAUPHIN,YES,Jefferson Township,62,0,0,0,62,1053,16,0,0,1069
ACT 24 UPPER DAUPHIN,YES,Lykens Township,112,0,0,0,112,1053,16,0,0,1069
ACT 24 UPPER DAUPHIN,YES,Mifflin Township,53,1,0,0,54,1053,16,0,0,1069
ACT 24 UPPER DAUPHIN,YES,Washington Township,295,7,0,0,302,1053,16,0,0,1069
