Cat_Namee,Can_Name,Name,C_Votes,ab_c_votes,ab_p_votes,ab_emer_votes1,rtot,Textbox5,Textbox7,Textbox11,ab_emer_votes,Textbox13
AUDITOR 2YR CONEWAGO,Write In  ,Conewago Twp--1st Precinct,1,0,0,0,1,3,0,0,0,3
AUDITOR 2YR CONEWAGO,Write In  ,Conewago Twp--2nd Precinct,2,0,0,0,2,3,0,0,0,3
AUDITOR 2YR GRATZ,Write In  ,Gratz Borough,9,0,0,0,9,9,0,0,0,9
AUDITOR 2YR HALIFAX  BORO,Connie J. ENDERS,Halifax Borough,63,4,0,0,67,63,4,0,0,67
AUDITOR 2YR HALIFAX  BORO,Write In  ,Halifax Borough,0,0,0,0,0,0,0,0,0,0
AUDITOR 2YR HALIFAX TWP,Write In  ,Halifax Twp--1st Precinct,5,0,0,0,5,11,0,0,0,11
AUDITOR 2YR HALIFAX TWP,Write In  ,Halifax Twp--2nd Precinct,6,0,0,0,6,11,0,0,0,11
AUDITOR 2YR LYKENS TWP,Violet E. HARTMAN,Lykens Township,81,0,0,0,81,81,0,0,0,81
AUDITOR 2YR LYKENS TWP,Write In  ,Lykens Township,0,0,0,0,0,0,0,0,0,0
AUDITOR 2YR PENBROOK,Write In  ,Penbrook Borough--1st Ward,1,0,0,0,1,3,0,0,0,3
AUDITOR 2YR PENBROOK,Write In  ,Penbrook Borough--2nd Ward,1,0,0,0,1,3,0,0,0,3
AUDITOR 2YR PENBROOK,Write In  ,Penbrook Borough--3rd Ward,1,0,0,0,1,3,0,0,0,3
AUDITOR 2YR PENBROOK,Write In  ,Penbrook Borough--4th Ward,0,0,0,0,0,3,0,0,0,3
AUDITOR 2YR REED,Write In  ,Reed Township,0,0,0,0,0,0,0,0,0,0
AUDITOR 2YR ROYALTON,Write In  ,Royalton Borough--1st Ward,1,0,0,0,1,2,0,0,0,2
AUDITOR 2YR ROYALTON,Write In  ,Royalton Borough--2nd Ward,1,0,0,0,1,2,0,0,0,2
AUDITOR 2YR WEST HAN,Write In  ,West Hanover Twp--1st Precinct,2,0,0,0,2,10,0,0,0,10
AUDITOR 2YR WEST HAN,Write In  ,West Hanover Twp--2nd Precinct,3,0,0,0,3,10,0,0,0,10
AUDITOR 2YR WEST HAN,Write In  ,West Hanover Twp--3rd Precinct,3,0,0,0,3,10,0,0,0,10
AUDITOR 2YR WEST HAN,Write In  ,West Hanover Twp--4th Precinct,2,0,0,0,2,10,0,0,0,10
AUDITOR 4YR BERRYSBURG,Write In  ,Berrysburg Borough,2,0,0,0,2,2,0,0,0,2
AUDITOR 4YR CONEWAGO,Write In  ,Conewago Twp--1st Precinct,1,0,0,0,1,4,0,0,0,4
AUDITOR 4YR CONEWAGO,Write In  ,Conewago Twp--2nd Precinct,3,0,0,0,3,4,0,0,0,4
AUDITOR 4YR DAUPHIN,Write In  ,Dauphin Borough,2,0,0,0,2,2,0,0,0,2
AUDITOR 4YR DERRY,Write In  ,Derry Township--1st Precinct,1,0,0,0,1,17,0,0,0,17
AUDITOR 4YR DERRY,Write In  ,Derry Township--2nd Precinct,0,0,0,0,0,17,0,0,0,17
AUDITOR 4YR DERRY,Write In  ,Derry Township--3rd Precinct,1,0,0,0,1,17,0,0,0,17
AUDITOR 4YR DERRY,Write In  ,Derry Township--4th Precinct,1,0,0,0,1,17,0,0,0,17
AUDITOR 4YR DERRY,Write In  ,Derry Township--5th Precinct,0,0,0,0,0,17,0,0,0,17
AUDITOR 4YR DERRY,Write In  ,Derry Township--6th Precinct,3,0,0,0,3,17,0,0,0,17
AUDITOR 4YR DERRY,Write In  ,Derry Township--7th Precinct,0,0,0,0,0,17,0,0,0,17
AUDITOR 4YR DERRY,Write In  ,Derry Township--8th Precinct,1,0,0,0,1,17,0,0,0,17
AUDITOR 4YR DERRY,Write In  ,Derry Township--9th Precinct,1,0,0,0,1,17,0,0,0,17
AUDITOR 4YR DERRY,Write In  ,Derry Township--10th Precinct,1,0,0,0,1,17,0,0,0,17
AUDITOR 4YR DERRY,Write In  ,Derry Township--11th Precinct,1,0,0,0,1,17,0,0,0,17
AUDITOR 4YR DERRY,Write In  ,Derry Township--12th Precinct,1,0,0,0,1,17,0,0,0,17
AUDITOR 4YR DERRY,Write In  ,Derry Township--13th Precinct,2,0,0,0,2,17,0,0,0,17
AUDITOR 4YR DERRY,Write In  ,Derry Township--14th Precinct,1,0,0,0,1,17,0,0,0,17
